,date,device,text,location
56,2016-09-22 23:55:21,Twitter Web Client,"Please change your Yahoo passord!!! Yahoo hit in worst hack ever, 500 million accounts swiped https://t.co/9FWf4lbAMK via @CNET",
57,2016-09-22 23:55:17,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
58,2016-09-22 23:55:16,dlvr.it,Yahoo confirms huge data breach affecting 500 million accounts: NEW YORK (AP) — Yahoo confirms huge data breach… https://t.co/Uw6EdAFxPG,
59,2016-09-22 23:55:12,Facebook,The security experts are calling it the largest data breach/hack EVER! You can see why with 500 million accounts... https://t.co/Y2S2KoNV5A,
60,2016-09-22 23:55:07,Facebook,Yahoo set to confirm massive data breach: Recode https://t.co/wnktMmqRMH,
61,2016-09-22 23:55:04,Twitter Web Client,Yahoo is in hot water after letting 500 million accounts get hacked #fresheyes  https://t.co/S2AQFb7YJz via @CNNMoney,
62,2016-09-22 23:55:00,Buffer,Yahoo says 500 million accounts stolen https://t.co/najrMZQzpZ,
63,2016-09-22 23:54:51,Twitter Web Client,Contexto de mi último tuit: https://t.co/beEWOrGUmz #Yahoo says 500 million accounts stolen,
64,2016-09-22 23:54:47,Twitter for iPhone,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
65,2016-09-22 23:54:45,Facebook,"Yahoo users, change your passwords now!

Yahoo confirms massive data breach affecting 500 MILLION accounts... https://t.co/ZAweXAxUjT",
66,2016-09-22 23:54:42,Twitter for iPad,Unreal. Change your passwords ASAP. Yahoo says 500 million accounts stolen https://t.co/3aX1PicAGc via @CNNMoney,
67,2016-09-22 23:54:23,Hootsuite,"Yahoo hit in worst hack ever, 500 million accounts swiped https://t.co/SpMyccztXc via @CNET",
68,2016-09-22 23:54:18,Twitter for Android,Yahoo confirms massive data breach.About 500 million user accounts stolen.Users encouraged to review online accounts ft suspicious activity,
