,date,device,text,location
82,2017-09-07 23:23:19,LinkedIn,https://t.co/lyvXjXfH7R Check if your personal data is secure after the Equifax cyber attack.,
83,2017-09-07 23:22:59,Twitter Web Client,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack via @forbes https://t.co/tiVDtdLkXR,
84,2017-09-07 23:22:30,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
85,2017-09-07 23:22:28,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
86,2017-09-07 23:22:13,Twitter for Android,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
87,2017-09-07 23:20:04,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
88,2017-09-07 23:19:55,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
89,2017-09-07 23:19:43,Twitter Web Client,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
90,2017-09-07 23:19:31,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
91,2017-09-07 23:19:16,Twitter Web Client,A cyber attack has exposed 143 million Americans' sensitive data https://t.co/7ClpyVDGs7,
92,2017-09-07 23:18:36,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
93,2017-09-07 23:18:24,Twitter for iPhone,A cyber attack has exposed the sensitive data of 143 million Americans https://t.co/VN2kkmRrGN https://t.co/XR7LCKfhi6,
94,2017-09-07 23:17:19,Twitter for iPhone,#BREAKING: @Equifax data breach may have exposed personal info of 143 million consumers! See if you were affected: https://t.co/Oy1z9JhtUh,
95,2017-09-07 23:16:17,IFTTT,Equifax says cyber attack may have hit 143 million customers https://t.co/rdmCZQ00I0,
